IP,Ports,JA4X,Subject.common_name,SeenFirst,SeenLast
193.149.190.212,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/21/2024 2:16,4/21/2024 2:16
146.59.228.111,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/19/2024 9:56,4/19/2024 9:56
89.37.173.55,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/12/2024 9:47,4/25/2024 0:41
193.151.149.17,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/1/2023 1:21,4/23/2024 0:50
144.202.127.176,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/11/2024 8:51,4/15/2024 22:47
193.149.189.186,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/14/2024 3:02,4/14/2024 3:02
14.23.112.50,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/7/2023 15:45,4/22/2024 15:46
94.131.110.127,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/13/2024 13:30,4/13/2024 14:49
193.149.180.36,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/12/2024 3:04,4/12/2024 3:04
217.146.80.73,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/25/2023 13:33,4/22/2024 1:25
94.20.154.152,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 1:03,4/21/2024 1:25
78.46.189.93,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/25/2023 1:16,4/25/2024 0:35
95.81.84.39,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/16/2024 1:28,4/20/2024 0:46
88.198.161.46,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/25/2023 0:44,4/25/2024 0:48
212.92.104.117,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/8/2023 1:01,4/22/2024 1:21
185.49.231.38,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:04,4/13/2024 15:04
103.216.61.161,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 0:50,4/23/2024 0:40
162.19.241.218,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/14/2024 7:27,4/13/2024 14:57
45.95.169.101,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/18/2024 0:32,4/25/2024 0:40
149.248.79.43,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/22/2024 2:12,4/22/2024 2:12
45.138.135.150,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/13/2024 13:18,4/13/2024 14:45
51.75.39.87,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/18/2024 0:43,4/21/2024 1:05
197.189.207.5,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 12:00,4/14/2024 2:23
51.83.132.227,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/21/2024 0:33,4/23/2024 0:41
109.206.252.78,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 0:49,4/22/2024 1:08
120.92.150.4,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/23/2022 8:10,4/21/2024 15:56
51.38.226.198,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/5/2023 1:39,4/23/2024 0:45
195.85.114.21,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/20/2024 2:12,4/20/2024 2:12
51.195.253.234,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/23/2023 0:39,4/23/2024 0:40
46.29.162.86,18001,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/8/2024 5:17,4/22/2024 3:40
51.75.59.244,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/6/2024 0:41,4/20/2024 0:39
109.206.252.77,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/19/2024 1:22,4/22/2024 1:01
37.187.55.52,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/5/2023 1:18,4/25/2024 0:36
193.149.187.114,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/20/2024 2:51,4/20/2024 2:51
103.57.251.232,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/18/2022 23:55,4/19/2024 1:03
77.87.122.57,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/19/2024 0:47,4/25/2024 0:42
5.255.108.160,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/28/2023 0:33,4/25/2024 0:42
65.108.61.221,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/8/2022 13:10,4/22/2024 0:58
101.32.34.52,4443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/27/2022 15:21,4/20/2024 1:48
188.68.236.158,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 1:35,4/19/2024 1:11
109.206.252.76,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 1:32,4/22/2024 1:05
137.74.195.171,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/19/2023 2:12,4/18/2024 0:46
213.168.249.250,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/3/2023 14:47,4/24/2024 22:45
120.26.176.123,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 16:03,4/19/2024 0:53
91.132.93.241,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/17/2024 2:12,4/19/2024 0:52
193.149.187.212,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/17/2024 2:09,4/22/2024 2:09
185.49.231.96,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:03,4/13/2024 15:03
195.211.45.216,3306  666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:12,4/13/2024 18:52
51.75.207.102,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/18/2023 13:01,4/23/2024 0:41
190.2.131.93,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/27/2023 1:14,4/23/2024 0:48
185.186.78.203,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/9/2022 13:29,4/24/2024 0:55
51.38.225.114,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/12/2023 0:40,4/23/2024 0:41
62.60.129.11,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/28/2024 1:13,4/23/2024 0:41
74.3.163.9,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 1:13,4/24/2024 0:53
188.40.208.224,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/25/2023 2:00,4/21/2024 1:26
51.83.132.227,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/24/2024 1:15,4/17/2024 0:59
92.222.22.65,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/11/2023 0:39,4/25/2024 0:32
147.78.0.244,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 2:06,4/20/2024 0:46
65.108.220.83,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/21/2022 13:26,4/22/2024 1:07
154.22.235.17,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,1/4/2024 5:39,4/22/2024 1:19
192.71.213.178,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/18/2024 1:17,4/20/2024 1:12
5.160.219.87,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/13/2023 8:52,4/13/2024 14:33
92.222.10.28,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/8/2023 2:01,4/25/2024 0:42
2.189.243.112,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/10/2024 1:00,4/25/2024 0:38
195.85.114.91,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/14/2024 3:16,4/14/2024 3:16
108.181.99.9,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/7/2023 1:01,4/22/2024 1:19
178.209.52.153,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/21/2022 13:28,4/21/2024 1:36
162.19.226.254,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 14:49,4/13/2024 14:49
5.75.142.19,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/5/2022 12:47,4/24/2024 0:41
212.92.104.11,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/4/2023 1:16,4/22/2024 1:20
51.38.226.20,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/12/2023 0:48,4/23/2024 0:50
38.180.95.46,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/7/2024 13:12,4/24/2024 15:46
92.114.17.93,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/9/2024 0:36,4/19/2024 0:42
37.143.130.119,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/18/2022 23:53,4/24/2024 0:45
185.58.241.225,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/16/2024 1:54,4/24/2024 0:53
137.220.251.20,20001,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/13/2024 15:48,4/23/2024 20:49
89.46.223.41,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/1/2024 0:41,4/25/2024 0:41
157.90.149.130,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,10/21/2022 14:34,4/24/2024 0:43
51.254.115.1,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/19/2023 1:01,4/23/2024 0:38
128.140.14.45,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/8/2023 13:10,4/22/2024 1:19
185.49.231.98,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:12,4/13/2024 15:12
51.38.48.142,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/7/2023 12:44,4/23/2024 0:45
106.14.94.65,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,9/21/2022 2:48,4/13/2024 14:49
193.176.31.135,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/25/2023 13:36,4/22/2024 1:23
183.6.58.200,10443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/10/2023 20:02,4/16/2024 17:20
217.146.89.8,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/12/2022 13:57,4/21/2024 1:28
193.149.187.150,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/12/2024 3:29,4/12/2024 3:29
193.70.1.151,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/14/2024 9:09,4/13/2024 15:12
77.247.179.103,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/12/2024 0:56,4/25/2024 0:47
217.146.89.25,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/7/2023 13:40,4/22/2024 1:19
185.107.80.192,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/11/2024 2:06,4/24/2024 0:40
185.107.44.51,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/14/2023 13:26,4/24/2024 0:53
51.75.39.87,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/20/2024 0:35,4/13/2024 0:37
51.77.158.11,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/8/2023 12:45,4/19/2024 0:42
217.146.89.26,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/7/2023 13:36,4/21/2024 1:26
65.109.10.120,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/17/2024 1:06,4/21/2024 0:51
149.248.78.155,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 2:23,4/15/2024 2:23
89.21.64.80,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,5/25/2023 13:07,4/25/2024 0:34
212.92.104.116,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/8/2023 0:59,4/21/2024 1:16
185.49.231.35,666,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/13/2024 15:03,4/13/2024 15:03
39.105.181.81,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/19/2022 1:46,4/25/2024 0:34
54.38.60.114,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,3/1/2024 0:38,4/13/2024 0:35
52.68.255.94,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/22/2024 22:51,4/25/2024 0:50
91.107.214.185,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,7/11/2023 1:45,4/23/2024 0:45
212.92.104.5,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,6/4/2023 1:18,4/22/2024 1:21
54.38.60.113,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,2/28/2024 0:33,4/16/2024 0:40
206.237.0.252,2222,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/4/2023 6:16,4/22/2024 3:50
193.149.189.70,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 2:29,4/15/2024 2:29
47.129.29.246,8000,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/12/2024 10:41,4/24/2024 10:35
37.143.130.18,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,11/7/2022 12:53,4/25/2024 0:40
193.149.187.101,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/15/2024 2:19,4/15/2024 2:19
39.101.64.69,8443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,8/23/2022 8:28,4/24/2024 15:46
193.149.185.105,80,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/12/2024 3:00,4/12/2024 3:00
194.60.231.180,443,711618dec96d_711618dec96d_0a4d69c180a3,ocserv VPN,4/14/2024 1:46,4/21/2024 1:14
